N,P,K,temperature,humidity,ph,rainfall,label
36,19,32,27.11,50.71,4.94,92.37,mango
7,17,26,34.89,48.76,6.41,91.63,mango
38,15,27,33.75,48.5,6.78,92.26,mango
5,19,25,27.35,54.44,6.44,96.28,mango
37,36,26,32.89,52.61,4.65,94.49,mango
21,31,32,35.39,51.43,5.25,90.3,mango
37,36,27,27.55,47.91,5.91,90.4,mango
23,23,30,32.82,47.46,4.76,90.89,mango
36,26,26,30.17,51.08,6.81,95.23,mango
24,33,35,29.26,54.82,5.34,100.76,mango
26,18,30,32.06,51.08,6.34,96.6,mango
22,17,26,28.7,47.72,4.75,99.64,mango
11,34,32,29.14,49.41,6.83,97.55,mango
29,35,28,28.35,53.54,6.97,90.4,mango
22,28,26,27.67,45.42,4.95,92.85,mango
23,24,32,28.12,46.17,5.63,93.3,mango
1,35,34,30.79,46.7,6.27,92.21,mango
2,24,34,28.89,54.81,6.47,94.76,mango
39,37,25,33.33,45.61,6.95,98.29,mango
15,36,27,27.79,53.97,5.64,91.01,mango
3,18,31,31.65,48.21,6.39,91.1,mango
8,38,32,29.75,46.74,4.98,91.41,mango
33,31,34,31.33,50.22,5.42,89.78,mango
14,29,32,35.64,48.97,6.94,97.52,mango
18,20,26,31.67,51.99,5.44,89.98,mango
9,21,32,32.27,53.56,5.87,95.94,mango
20,30,27,27.81,51.59,4.75,95.9,mango
9,38,25,34.59,50.34,5.5,100.31,mango
26,24,34,31.27,52.24,6.81,89.74,mango
31,36,29,33.94,52.72,6.46,97.46,mango
14,18,35,31.09,47.02,4.79,91.47,mango
40,16,35,31.89,49.02,6.48,89.59,mango
28,27,34,32.45,50.7,6.53,95.05,mango
0,17,30,35.47,47.97,6.28,97.79,mango
1,29,29,27.33,49.3,6.05,93.53,mango
2,36,31,30.9,49.96,5.73,91.78,mango
12,27,26,29.09,45.57,5.32,96.24,mango
7,28,35,30.02,46.78,4.67,96.64,mango
0,36,26,34.13,51.26,5.1,96.39,mango
26,35,31,33.45,53.06,5.34,98.05,mango
27,21,30,35.39,52.49,5.06,91.23,mango
22,38,31,31.53,53.06,5.82,98.57,mango
22,18,31,30.76,47.94,5.96,90.39,mango
28,23,28,30.02,50.1,5.68,96.09,mango
7,31,27,31.33,47.59,6.52,94.67,mango
29,34,26,33.88,54.39,6.27,89.29,mango
8,37,33,28.08,54.96,6.13,97.45,mango
39,16,27,35.54,52.95,4.93,91.55,mango
40,24,25,28.71,50.44,5.45,95.89,mango
19,38,26,31.48,48.78,4.53,93.17,mango
21,21,30,27.7,51.42,5.4,100.77,mango
22,18,33,30.41,52.48,6.62,93.92,mango
31,20,30,32.18,54.01,6.21,91.89,mango
18,26,31,32.61,47.75,5.42,91.1,mango
119,25,51,26.47,80.92,6.28,53.66,watermelon
119,19,55,25.19,83.45,6.82,46.87,watermelon
105,30,50,25.3,81.78,6.38,57.04,watermelon
114,8,50,24.75,88.31,6.58,57.96,watermelon
93,22,52,26.59,81.33,6.93,41.88,watermelon
80,26,55,24.53,88.99,6.14,49.12,watermelon
85,27,45,26.07,88.73,6.47,57.8,watermelon
85,22,53,25.97,89.77,6.85,59.46,watermelon
82,22,45,26.22,85.35,6.51,54.6,watermelon
118,13,54,24.41,89.82,6.04,44.08,watermelon
83,25,53,26.49,80.05,6.06,57.73,watermelon
86,15,47,24.04,84.18,6.42,53.79,watermelon
101,10,47,25.54,83.32,6.94,57.57,watermelon
119,9,50,26.75,83.92,6.25,40.79,watermelon
104,17,46,25.71,80.23,6.19,43.09,watermelon
95,12,51,25.76,84.17,6.68,44.22,watermelon
102,14,52,26.79,89.65,6.51,57.74,watermelon
109,21,55,24.9,89.74,6.77,57.45,watermelon
81,18,50,26.81,88.23,6.43,58.8,watermelon
103,17,51,25.11,80.03,6.21,44.21,watermelon
105,14,50,26.21,87.69,6.42,59.66,watermelon
97,8,52,24.91,86.97,6.24,49.49,watermelon
120,19,49,25.79,84.27,6.76,56.45,watermelon
95,16,55,25.27,87.55,6.61,40.13,watermelon
83,29,52,25.76,87.59,6.7,46.05,watermelon
83,9,45,25.85,89.13,6.05,46.85,watermelon
91,21,50,24.34,81.44,6.76,48.32,watermelon
116,5,54,25.38,80.99,6.65,57.23,watermelon
112,28,54,24.86,85.05,6.74,55.3,watermelon
88,29,51,24.72,88.95,6.1,48.46,watermelon
118,15,45,24.21,84.21,6.54,48.01,watermelon
92,21,48,25.82,82.04,6.38,54.83,watermelon
106,14,45,24.47,84.16,6.42,57.27,watermelon
99,5,47,24.13,84.84,6.65,51.19,watermelon
98,8,51,26.18,86.52,6.26,49.43,watermelon
108,22,46,26.18,86.73,6.12,53.33,watermelon
119,7,55,26.04,84.64,6.03,44.4,watermelon
117,27,48,26.53,82.39,6.84,54.31,watermelon
109,10,53,26.82,87.83,6.55,46.06,watermelon
80,16,46,25.5,81.4,6.94,48.48,watermelon
100,18,52,26.2,80.38,6.88,56.48,watermelon
91,7,53,25.14,89.28,6.46,43.53,watermelon
86,6,53,25.92,83.47,6.92,42.11,watermelon
107,5,52,26.66,89.98,6.88,57.41,watermelon
103,16,49,24.07,81.64,6.92,51.75,watermelon
101,20,48,24.68,82.75,6.21,57.06,watermelon
85,25,47,26.11,87.64,6.3,58.48,watermelon
84,7,51,26.82,87.66,6.4,55.74,watermelon
102,28,54,25.16,80.28,6.86,55.5,watermelon
98,25,52,25.28,83.15,6.22,49.29,watermelon
97,25,50,26.22,80.9,6.09,49.09,watermelon
90,16,45,24.92,80.62,6.29,50.56,watermelon
95,12,46,26.22,81.01,6.32,54.65,watermelon
82,23,49,26.81,87.22,6.87,51.7,watermelon
82,25,51,24.31,87.47,6.07,48.11,watermelon
110,28,46,24.29,88.05,6.5,51.26,watermelon
118,21,51,24.43,86.34,6.68,48.58,watermelon
120,20,45,25.67,88.7,6.11,54.23,watermelon
91,7,52,25.08,83.46,6.41,56.4,watermelon
81,6,55,24.89,85.87,6.11,51.71,watermelon
101,13,54,25.43,82.91,6.83,56.34,watermelon
101,17,55,24.37,87.13,6.45,44.64,watermelon
111,6,53,26.49,88.59,6.31,46.06,watermelon
107,10,49,25.83,89.0,6.76,45.25,watermelon
115,11,46,24.42,89.4,6.62,40.32,watermelon
84,25,52,24.37,81.25,6.13,44.21,watermelon
120,7,47,24.25,83.04,6.65,54.77,watermelon
91,12,46,24.64,85.5,6.34,48.31,watermelon
89,22,52,24.9,86.11,6.22,53.15,watermelon
113,19,46,25.42,81.12,6.29,49.52,watermelon
97,22,50,26.26,86.15,6.77,58.98,watermelon
117,30,50,24.9,87.21,6.74,46.59,watermelon
90,14,52,24.85,89.2,6.39,59.68,watermelon
104,23,47,26.98,86.7,6.77,42.91,watermelon
81,16,45,26.9,86.25,6.73,59.76,watermelon
88,5,47,25.86,86.67,6.66,41.17,watermelon
92,7,45,26.71,81.14,6.94,51.51,watermelon
81,18,50,26.44,80.92,6.51,47.82,watermelon
111,5,55,26.28,84.42,6.52,50.79,watermelon
108,23,51,26.84,83.85,6.11,40.23,watermelon
113,30,50,26.04,83.99,6.28,43.88,watermelon
83,10,53,24.93,85.01,6.2,48.76,watermelon
101,11,51,25.51,84.24,6.79,44.21,watermelon
114,21,55,25.44,87.94,6.47,57.52,watermelon
99,6,45,26.13,86.55,6.0,40.71,watermelon
92,20,55,25.1,87.53,6.59,59.27,watermelon
92,7,48,26.28,86.63,6.96,54.39,watermelon
91,24,55,26.27,83.09,6.26,46.77,watermelon
110,21,54,26.74,87.82,6.75,47.46,watermelon
112,25,51,25.05,85.57,6.93,56.72,watermelon
89,25,54,24.69,85.57,6.35,48.99,watermelon
100,10,53,24.54,84.61,6.21,42.01,watermelon
83,22,54,25.9,81.97,6.28,54.5,watermelon
95,14,50,26.63,84.32,6.56,56.32,watermelon
119,30,49,25.36,80.46,6.9,47.72,watermelon
97,12,47,25.29,89.64,6.77,58.29,watermelon
110,7,45,26.64,84.7,6.19,48.32,watermelon
96,18,50,25.33,84.31,6.9,41.53,watermelon
83,23,55,26.9,83.89,6.46,43.97,watermelon
120,24,47,26.99,89.41,6.26,58.55,watermelon
22,30,12,15.78,92.51,6.35,119.04,orange
37,6,13,26.03,91.51,7.51,101.28,orange
27,13,6,13.36,91.36,7.34,111.23,orange
7,16,9,18.88,92.04,7.81,114.67,orange
20,7,9,29.48,91.58,7.13,111.17,orange
26,27,10,28.07,92.91,6.08,114.13,orange
5,23,15,25.67,92.05,7.41,112.54,orange
0,18,14,29.77,92.01,7.21,114.42,orange
39,24,14,30.55,90.9,7.19,106.07,orange
13,23,6,23.96,90.26,7.37,102.7,orange
21,17,15,23.98,91.55,7.46,118.49,orange
33,12,8,25.26,90.31,6.82,117.37,orange
6,9,12,31.08,90.14,7.03,109.69,orange
19,7,10,14.78,91.22,6.12,100.2,orange
24,18,6,26.57,94.45,6.29,116.38,orange
9,11,8,24.86,94.39,6.56,111.78,orange
31,8,7,34.51,93.64,7.16,103.57,orange
22,17,5,24.12,90.72,6.95,102.84,orange
13,5,8,23.85,90.11,7.47,103.92,orange
16,8,9,24.6,91.28,7.6,111.29,orange
4,13,6,15.63,94.26,7.56,101.47,orange
0,25,14,19.34,91.98,6.36,116.45,orange
8,7,10,28.26,91.98,6.93,105.21,orange
4,23,5,22.68,93.36,7.48,110.33,orange
33,14,8,21.03,92.96,7.68,110.68,orange
30,7,15,33.23,91.06,7.83,115.77,orange
21,29,12,22.3,92.16,6.44,117.37,orange
11,14,5,11.5,94.89,6.95,115.57,orange
9,8,15,14.34,94.36,7.99,110.22,orange
5,18,14,33.11,93.48,7.43,119.17,orange
29,25,14,30.49,90.46,7.78,113.33,orange
33,12,15,30.26,92.03,6.05,116.72,orange
8,16,6,12.23,90.26,7.11,108.42,orange
15,14,8,10.01,90.22,6.22,119.39,orange
16,7,8,22.79,90.61,6.42,116.51,orange
0,12,7,20.18,90.65,6.97,116.81,orange
5,25,6,30.72,94.01,6.01,106.81,orange
6,8,11,24.36,92.4,6.6,119.69,orange
10,5,5,21.21,91.35,7.82,112.98,orange
1,17,6,10.79,91.38,6.82,117.53,orange
1,30,10,11.9,91.35,7.29,103.58,orange
0,23,15,22.57,93.37,7.6,109.86,orange
24,27,9,18.87,93.25,6.16,119.39,orange
36,11,13,17.34,93.05,7.19,112.72,orange
40,21,8,34.91,92.88,7.42,102.19,orange
40,22,6,24.54,91.91,6.49,115.98,orange
32,18,13,13.84,91.75,6.04,107.99,orange
9,10,10,22.36,93.52,6.01,101.52,orange
13,16,8,34.74,93.12,6.95,100.2,orange
15,9,11,11.55,94.15,7.91,108.83,orange
29,11,5,23.13,91.95,7.64,104.42,orange
1,15,9,29.98,94.55,7.53,115.36,orange
18,5,11,20.88,90.94,6.25,102.46,orange
14,22,9,17.25,91.14,6.54,112.51,orange
33,15,7,15.83,91.68,7.65,109.76,orange
4,6,7,23.01,91.12,6.71,112.67,orange
17,16,14,16.4,92.18,6.63,102.94,orange
12,20,10,24.45,93.11,6.53,109.47,orange
34,29,8,31.88,91.15,6.45,105.34,orange
39,28,10,31.35,91.48,7.18,109.15,orange
31,25,12,18.05,90.04,7.02,111.78,orange
12,6,8,30.85,92.87,6.39,107.41,orange
12,29,13,22.46,91.53,7.57,118.01,orange
26,11,11,13.7,90.96,7.61,106.29,orange
19,24,15,20.49,93.72,7.14,111.84,orange
39,21,9,13.21,94.03,6.35,106.27,orange
16,29,13,32.32,93.68,6.2,117.62,orange
36,29,13,20.68,90.92,7.83,109.75,orange
37,23,12,31.53,90.51,6.4,113.12,orange
39,9,15,25.35,91.81,7.99,116.76,orange
31,5,14,17.67,91.7,6.58,110.69,orange
18,12,8,12.59,91.82,6.21,119.39,orange
20,20,10,11.87,93.68,6.98,106.06,orange
5,8,5,11.03,92.23,6.56,112.77,orange
20,8,12,25.3,94.96,7.26,117.97,orange
25,21,11,32.24,90.15,6.46,104.71,orange
14,19,14,17.68,94.36,6.7,108.06,orange
37,18,12,10.27,90.19,7.4,106.7,orange
26,15,6,17.22,94.79,6.91,108.01,orange
13,22,5,19.67,90.5,7.76,100.17,orange
32,25,9,10.36,93.76,7.8,101.15,orange
19,7,9,27.26,91.71,6.97,101.14,orange
28,7,9,34.59,92.13,6.73,115.57,orange
24,30,11,32.4,94.52,6.6,113.25,orange
7,17,10,10.16,91.22,6.47,106.36,orange
18,23,8,21.49,93.44,6.41,101.48,orange
7,20,12,16.53,94.77,6.48,110.04,orange
20,23,11,31.85,90.12,6.41,109.95,orange
18,14,11,28.05,90.01,6.55,117.13,orange
34,11,10,31.75,94.6,7.36,115.2,orange
20,29,10,29.07,93.27,7.37,100.79,orange
37,24,13,19.14,90.71,7.85,108.02,orange
12,8,10,16.15,91.44,8.0,107.43,orange
34,10,14,34.05,92.06,6.73,116.8,orange
6,13,9,34.51,90.56,7.79,118.33,orange
27,30,5,32.72,90.55,7.66,113.33,orange
13,8,12,25.16,92.55,7.11,114.31,orange
6,7,7,27.68,94.47,7.2,114.0,orange
40,17,15,21.35,90.95,7.87,107.09,orange
31,26,9,11.7,93.26,7.57,103.2,orange
133,47,24,24.4,79.2,7.23,90.8,cotton
136,36,20,23.1,84.86,6.93,71.3,cotton
104,47,18,23.97,76.98,7.63,90.76,cotton
133,47,23,24.89,75.62,6.83,89.76,cotton
126,38,23,25.36,83.63,6.18,88.44,cotton
126,50,19,24.69,81.74,6.63,78.58,cotton
113,41,20,25.0,80.54,7.26,96.33,cotton
121,45,22,22.46,81.31,6.44,64.23,cotton
121,47,16,23.61,79.3,7.72,72.5,cotton
129,60,22,24.58,79.12,5.95,71.95,cotton
107,45,25,23.09,83.56,7.23,71.84,cotton
122,59,18,23.5,83.63,6.22,79.81,cotton
140,38,15,24.15,75.88,6.02,69.92,cotton
102,49,21,24.69,84.84,6.25,89.8,cotton
111,40,25,24.48,84.45,6.19,90.94,cotton
131,35,18,24.49,82.24,7.06,64.03,cotton
135,43,16,23.48,81.73,6.72,86.76,cotton
100,46,18,24.19,76.04,6.43,69.08,cotton
123,39,24,25.01,78.18,7.45,86.06,cotton
117,56,15,25.99,77.05,7.37,89.12,cotton
121,36,24,23.66,81.69,7.35,99.37,cotton
101,58,18,25.67,81.38,6.65,78.6,cotton
107,42,24,22.05,84.63,6.14,86.01,cotton
100,41,22,22.42,84.56,7.32,93.47,cotton
125,39,21,25.03,82.21,7.95,95.02,cotton
105,60,23,23.53,77.22,6.21,87.54,cotton
102,46,19,22.77,82.6,6.63,81.5,cotton
131,49,22,25.5,79.98,7.31,67.06,cotton
139,35,15,25.25,83.46,5.9,86.56,cotton
108,36,19,22.78,77.51,7.24,64.61,cotton
118,45,23,23.37,77.43,7.98,71.68,cotton
107,51,22,24.87,78.22,5.98,79.57,cotton
125,60,17,24.14,84.52,6.79,80.36,cotton
113,37,20,25.03,79.04,7.39,97.1,cotton
131,52,16,23.66,84.48,6.49,88.54,cotton
115,48,16,25.54,84.09,7.18,88.94,cotton
113,38,25,22.0,79.47,7.39,90.42,cotton
111,41,18,23.64,78.13,6.11,80.96,cotton
111,53,19,23.96,78.03,6.42,84.63,cotton
122,48,16,24.65,75.64,6.31,61.83,cotton
108,46,17,24.3,84.88,6.93,65.02,cotton
132,41,22,24.29,81.02,7.81,90.42,cotton
103,42,17,24.29,84.62,6.53,81.06,cotton
133,50,25,25.72,81.2,7.57,99.93,cotton
127,37,18,24.88,76.3,7.04,91.92,cotton
110,39,25,22.61,77.34,7.21,75.14,cotton
131,38,19,23.87,75.68,6.81,90.45,cotton
108,38,24,23.41,76.44,7.44,78.82,cotton
122,40,17,24.96,81.32,6.85,80.04,cotton
111,50,15,25.17,80.3,7.88,84.62,cotton
140,40,17,22.73,77.08,6.01,77.55,cotton
100,40,20,22.45,76.26,7.43,86.85,cotton
123,50,16,23.05,75.54,6.5,70.66,cotton
107,36,21,25.29,75.67,6.21,62.64,cotton
118,50,19,22.96,82.34,6.36,66.48,cotton
103,51,20,22.8,84.15,7.05,91.64,cotton
133,57,19,23.54,75.98,7.95,84.13,cotton
129,47,20,24.41,80.8,6.28,98.6,cotton
116,52,19,22.94,75.37,6.11,67.08,cotton
114,40,23,25.54,81.14,6.75,95.43,cotton
131,60,17,25.32,81.79,7.43,83.47,cotton
107,43,18,22.43,81.53,6.75,65.54,cotton
123,44,21,25.79,75.01,7.64,91.4,cotton
112,49,25,25.69,77.91,6.47,66.19,cotton
119,44,15,22.15,82.86,7.09,60.65,cotton
130,59,19,25.07,82.5,6.52,93.51,cotton
127,53,24,22.22,76.18,6.13,70.41,cotton
134,52,18,23.96,76.59,7.99,76.13,cotton
109,36,18,25.4,76.53,7.52,62.51,cotton
100,48,17,23.78,83.04,7.83,66.27,cotton
132,52,19,24.16,76.74,6.44,61.95,cotton
102,37,25,25.31,77.92,5.91,72.83,cotton
111,39,22,22.6,80.35,6.14,88.57,cotton
117,51,15,22.95,78.72,6.04,99.75,cotton
136,36,24,22.74,80.41,7.6,90.07,cotton
134,56,18,23.81,83.92,6.69,70.97,cotton
112,54,15,25.46,81.57,6.18,76.89,cotton
105,56,15,25.97,81.98,7.27,74.14,cotton
140,45,15,25.53,80.05,5.8,99.4,cotton
126,46,25,24.44,81.7,6.76,60.8,cotton
106,49,24,23.04,76.47,6.98,90.65,cotton
121,53,19,23.51,76.73,7.98,80.11,cotton
108,60,17,22.76,76.76,6.56,97.77,cotton
116,56,17,24.71,77.73,7.98,85.25,cotton
100,52,19,23.46,82.45,7.9,93.5,cotton
129,43,16,25.55,77.85,6.73,78.58,cotton
118,44,23,22.08,82.83,6.69,67.06,cotton
117,43,25,24.69,78.51,7.84,69.31,cotton
126,37,21,25.85,84.17,6.61,77.03,cotton
120,48,16,22.46,75.41,7.46,71.85,cotton
102,45,16,23.66,77.52,7.29,74.9,cotton
131,56,20,22.01,81.84,7.76,92.24,cotton
114,40,17,24.33,80.13,6.36,69.45,cotton
101,37,18,22.92,82.69,7.64,92.92,cotton
106,46,20,23.44,78.63,6.2,81.15,cotton
113,38,20,22.11,78.58,6.36,74.94,cotton
102,53,21,23.04,76.11,6.91,91.5,cotton
110,39,18,24.55,75.4,7.77,63.88,cotton
107,58,15,23.74,75.78,7.56,76.64,cotton
120,60,15,22.32,83.86,7.29,65.36,cotton
91,21,26,26.33,57.36,7.26,191.65,coffee
107,21,26,26.45,55.32,7.24,144.69,coffee
83,38,35,25.71,52.89,7.19,136.73,coffee
108,24,31,24.13,56.18,6.43,147.28,coffee
116,28,34,23.44,60.4,6.42,122.21,coffee
116,23,25,23.41,52.27,6.87,139.37,coffee
109,31,27,23.06,50.41,6.97,164.5,coffee
89,25,34,23.08,63.66,7.18,129.88,coffee
118,18,32,27.65,51.11,6.35,122.84,coffee
111,32,34,25.47,69.35,6.39,171.38,coffee
84,36,28,26.74,55.55,6.12,140.63,coffee
85,33,25,26.21,52.51,6.91,189.09,coffee
99,15,27,27.04,57.28,6.5,165.69,coffee
81,30,31,24.65,51.94,7.03,135.14,coffee
95,39,29,27.35,55.99,7.13,148.98,coffee
81,34,30,25.18,62.26,6.65,135.01,coffee
80,15,28,23.11,68.0,6.7,161.89,coffee
104,20,26,27.23,52.95,7.49,175.73,coffee
109,29,28,23.26,60.52,6.72,194.18,coffee
100,32,26,25.23,57.53,6.04,124.23,coffee
100,24,28,25.6,57.73,7.1,195.77,coffee
83,21,28,25.57,60.49,7.47,190.23,coffee
120,23,28,25.67,51.29,6.88,196.27,coffee
104,26,30,24.41,62.66,6.41,148.7,coffee
108,33,31,23.69,66.76,7.39,144.66,coffee
91,25,26,24.53,67.0,7.48,180.51,coffee
86,26,27,27.13,52.89,6.08,192.43,coffee
98,18,27,27.56,68.49,6.52,167.44,coffee
111,27,31,23.59,55.28,6.04,191.4,coffee
84,39,35,23.18,52.14,6.96,117.31,coffee
98,27,27,24.71,51.29,7.24,197.64,coffee
118,21,34,24.39,64.73,7.23,119.63,coffee
103,27,31,27.16,51.59,6.69,126.18,coffee
82,24,33,26.54,67.1,6.81,120.65,coffee
86,31,35,27.01,60.77,6.49,191.45,coffee
88,35,35,27.56,58.46,6.78,117.94,coffee
84,27,29,23.32,53.0,7.17,168.26,coffee
120,40,33,24.24,54.3,6.73,115.16,coffee
106,40,30,23.43,64.11,6.78,122.68,coffee
113,21,33,26.02,55.83,7.28,176.9,coffee
117,34,25,24.84,56.77,7.21,124.41,coffee
80,30,25,26.24,65.64,7.49,148.38,coffee
88,21,27,24.43,66.02,7.23,181.64,coffee
113,33,34,26.0,62.14,6.56,153.48,coffee
87,23,28,26.22,62.27,6.98,193.75,coffee
113,15,29,27.1,63.55,6.78,190.24,coffee
98,29,30,25.64,61.03,6.22,199.47,coffee
97,29,27,27.75,54.37,7.21,139.86,coffee
85,35,32,26.25,54.29,6.85,133.11,coffee
82,29,35,26.67,52.24,6.25,156.15,coffee
103,33,25,27.1,55.75,6.91,139.5,coffee
112,17,28,27.63,61.26,6.78,196.65,coffee
99,19,33,27.54,55.52,6.27,130.64,coffee
120,20,34,23.57,50.56,6.91,130.38,coffee
114,27,28,24.99,57.93,7.16,192.87,coffee
100,40,35,27.56,54.41,6.96,177.82,coffee
108,35,25,23.98,61.11,6.97,161.53,coffee
115,31,30,24.23,67.38,6.84,122.41,coffee
87,28,30,25.6,68.66,6.54,168.84,coffee
82,24,26,24.31,53.57,6.09,184.41,coffee
94,26,27,26.37,52.26,7.46,177.32,coffee
87,28,35,26.56,57.16,6.76,152.06,coffee
118,40,35,26.35,58.51,7.46,121.56,coffee
87,38,29,25.2,57.88,6.65,156.15,coffee
92,40,30,23.36,55.19,6.03,171.7,coffee
97,22,26,23.61,59.69,6.07,185.16,coffee
99,40,32,24.18,69.95,7.05,163.27,coffee
89,28,33,26.44,53.84,6.99,175.37,coffee
112,39,29,26.12,63.37,6.73,147.8,coffee
111,28,26,27.77,64.48,6.94,192.71,coffee
114,20,26,25.56,62.67,7.28,193.59,coffee
117,26,30,27.92,67.97,7.08,115.23,coffee
111,29,31,26.06,52.31,6.14,161.34,coffee
119,30,28,26.36,64.58,6.51,163.63,coffee
116,40,33,24.91,54.15,7.04,129.55,coffee
95,37,35,27.31,68.42,6.35,192.43,coffee
86,40,33,26.14,52.26,7.43,136.3,coffee
117,37,32,23.11,67.06,6.79,162.58,coffee
105,18,35,23.53,68.44,6.74,171.88,coffee
109,23,25,25.12,68.48,7.01,194.88,coffee
80,18,31,24.03,58.85,7.3,134.68,coffee
101,31,26,26.71,69.71,6.86,158.86,coffee
103,33,33,26.72,50.5,7.13,126.81,coffee
93,26,27,24.59,56.47,7.29,137.7,coffee
104,35,28,27.51,50.67,6.98,144.0,coffee
116,36,25,27.58,58.53,6.17,156.68,coffee
107,38,29,26.65,57.57,6.35,145.11,coffee
101,33,33,26.97,62.02,6.91,142.86,coffee
107,31,31,23.17,52.98,6.77,153.12,coffee
99,16,30,23.53,65.44,6.39,186.17,coffee
103,40,30,27.31,55.2,6.35,141.48,coffee
118,31,34,27.55,62.88,6.12,181.42,coffee
106,21,35,25.63,57.04,7.43,188.55,coffee
116,38,34,23.29,50.05,6.02,183.47,coffee
97,35,26,24.91,53.74,6.33,166.25,coffee
107,34,32,26.77,66.41,6.78,177.77,coffee
99,15,27,27.42,56.64,6.09,127.92,coffee
118,33,30,24.13,67.23,6.36,173.32,coffee
117,32,34,26.27,52.13,6.76,127.18,coffee
104,18,30,23.6,60.4,6.78,140.94,coffee
63,25,51,17.68,50.2,6.86,806.73,teff
39,35,45,20.84,65.65,5.96,528.34,teff
82,40,45,27.74,63.51,6.13,559.19,teff
64,46,26,19.81,51.77,5.94,726.59,teff
45,37,75,20.32,42.51,6.56,523.95,teff
36,21,68,29.32,64.8,6.7,708.33,teff
75,17,90,25.31,64.53,6.59,701.47,teff
51,14,37,25.55,60.2,5.96,560.74,teff
47,38,89,28.51,69.47,6.37,600.64,teff
61,30,89,24.75,55.82,7.12,1007.33,teff
60,43,71,18.39,41.11,6.58,851.45,teff
64,49,27,18.83,68.78,6.89,719.83,teff
42,22,66,23.57,47.95,7.3,635.12,teff
70,30,81,19.27,66.5,6.5,943.84,teff
60,45,36,15.08,45.91,7.29,727.12,teff
76,18,93,17.63,44.29,5.92,635.42,teff
58,13,46,23.02,48.56,5.9,853.38,teff
44,15,37,23.57,66.75,6.86,654.27,teff
69,13,58,29.91,63.09,7.19,906.16,teff
64,17,84,20.7,42.83,7.22,936.58,teff
43,45,52,27.42,64.67,6.81,589.31,teff
32,20,44,22.59,47.85,7.0,509.85,teff
66,37,41,23.05,53.66,6.26,684.11,teff
81,17,56,18.8,43.6,6.75,1068.42,teff
39,42,83,21.41,50.26,6.54,1075.1,teff
89,42,76,27.56,60.19,6.56,904.84,teff
50,45,34,24.57,57.65,6.51,582.8,teff
44,30,68,22.98,44.71,5.99,960.71,teff
58,31,52,22.59,47.54,6.51,805.7,teff
89,50,84,23.54,46.8,6.03,821.41,teff
83,31,67,26.6,56.09,6.87,823.52,teff
40,15,86,25.62,66.49,6.83,686.77,teff
80,20,63,25.76,45.63,6.63,1150.78,teff
40,29,71,21.03,54.94,6.84,908.8,teff
81,42,28,24.61,53.93,6.73,959.11,teff
32,32,48,17.0,67.64,5.85,786.96,teff
71,46,25,22.99,67.66,6.74,502.97,teff
40,13,91,28.79,55.4,7.01,537.21,teff
45,36,64,24.73,56.34,7.25,1042.91,teff
85,37,91,25.76,65.35,5.84,732.8,teff
43,17,64,20.71,65.49,6.86,1182.27,teff
64,23,43,18.7,58.11,6.28,1092.15,teff
90,50,88,19.0,42.16,6.91,1047.36,teff
34,12,38,16.93,67.72,6.68,770.82,teff
65,29,67,18.46,40.05,6.15,743.3,teff
62,25,87,27.55,41.84,7.29,897.28,teff
78,37,27,17.0,43.61,6.69,732.92,teff
58,26,27,19.59,43.41,7.11,1110.88,teff
83,21,56,28.65,41.5,6.96,609.86,teff
67,34,29,27.98,57.78,6.06,1114.84,teff
48,23,34,15.26,69.27,6.14,935.95,teff
82,44,25,24.06,43.73,6.33,974.63,teff
76,27,70,23.69,68.09,6.76,1199.11,teff
55,48,34,15.31,68.52,6.9,1158.5,teff
80,47,38,26.71,59.87,7.17,966.67,teff
56,29,27,24.65,45.02,6.67,904.06,teff
85,38,45,16.04,69.36,7.16,987.51,teff
50,41,31,18.53,63.62,5.82,823.62,teff
60,33,56,27.84,65.93,6.34,717.44,teff
51,11,59,20.66,67.96,6.89,648.26,teff
87,24,49,23.09,66.52,7.18,590.86,teff
44,36,28,17.86,40.02,6.1,963.6,teff
62,20,64,20.42,46.81,5.98,730.43,teff
60,11,53,22.61,54.04,6.26,1004.17,teff
64,24,79,18.24,68.93,6.61,932.61,teff
45,16,95,18.04,66.78,7.15,969.71,teff
81,36,83,24.39,69.04,6.58,710.52,teff
81,50,26,22.28,41.76,6.01,697.31,teff
56,23,28,17.97,51.56,5.82,910.26,teff
34,30,88,18.23,67.39,6.04,675.7,teff
86,41,96,19.96,57.92,6.85,609.87,teff
89,49,77,24.42,54.4,7.06,1115.56,teff
68,32,31,28.21,64.41,5.94,1071.13,teff
66,41,49,29.83,40.01,7.16,987.46,teff
31,20,49,18.25,42.66,6.33,685.58,teff
37,46,41,16.86,63.96,6.44,1139.56,teff
70,10,71,26.69,60.08,7.13,1010.18,teff
59,35,61,22.83,65.98,6.92,1024.42,teff
47,14,67,21.4,66.0,7.1,642.29,teff
62,23,83,21.69,68.15,7.05,555.5,teff
77,43,32,29.86,66.81,7.27,553.74,teff
44,24,47,15.12,52.65,6.44,1088.18,teff
65,19,44,28.52,62.43,6.33,1070.36,teff
45,47,31,16.0,46.99,5.9,743.27,teff
74,20,39,15.76,49.6,7.22,872.64,teff
55,35,84,27.96,68.98,5.99,950.07,teff
35,28,63,16.97,55.09,6.51,762.97,teff
83,30,40,15.87,48.23,6.59,515.39,teff
